Genome	metagenome	breadth	read_count	size.x	depth_cov	fasta	size.y	BUSCO_lineage	lineage	BAT_euk	bat_bacteria	Lichen.metagenomes	lineage_broad	putative_role	confirmed_role	note
private_T1894_metawrap_bin.9	SRR14721985	69.5	41217	3652841	1.410443269	private_T1894_metawrap_bin.9.fa	3652841	NA	NA	NA	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__RH-AL1;s__	Imshaugia aleurites	bacteria_other	bacteria_other	bacteria_other	
private_T1894_metawrap_bin.9	SRR14721996	92.24	124281	3652841	4.252888368	private_T1894_metawrap_bin.9.fa	3652841	NA	NA	NA	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__RH-AL1;s__	Hypogymnia vittata	bacteria_other	bacteria_other	bacteria_other	
private_T1894_metawrap_bin.9	SRR14722007	87.42	99076	3652841	3.39037478	private_T1894_metawrap_bin.9.fa	3652841	NA	NA	NA	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__RH-AL1;s__	Platismatia glauca	bacteria_other	bacteria_other	bacteria_other	
private_T1894_metawrap_bin.9	SRR14722057	57.98	30181	3652841	1.03279201	private_T1894_metawrap_bin.9.fa	3652841	NA	NA	NA	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__RH-AL1;s__	Cladonia squamosa	bacteria_other	bacteria_other	bacteria_other	
private_T1894_metawrap_bin.9	SRR14722068	54.69	31504	3652841	1.078064991	private_T1894_metawrap_bin.9.fa	3652841	NA	NA	NA	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__RH-AL1;s__	Parmotrema neotropicum	bacteria_other	bacteria_other	bacteria_other	
private_T1894_metawrap_bin.9	SRR14722118	94.1	197390	3652841	6.754673965	private_T1894_metawrap_bin.9.fa	3652841	NA	NA	NA	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__RH-AL1;s__	Bryoria tenuis	bacteria_other	bacteria_other	bacteria_other	
private_T1894_metawrap_bin.9	SRR14722129	77.03	55926	3652841	1.913784367	private_T1894_metawrap_bin.9.fa	3652841	NA	NA	NA	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__RH-AL1;s__	Pseudevernia cladonia	bacteria_other	bacteria_other	bacteria_other	
private_T1894_metawrap_bin.9	SRR14722140	79.59	69955	3652841	2.393855906	private_T1894_metawrap_bin.9.fa	3652841	NA	NA	NA	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__RH-AL1;s__	Platismatia tuckermanii	bacteria_other	bacteria_other	bacteria_other	
private_T1894_metawrap_bin.9	SRR14722150	58.56	35403	3652841	1.211488537	private_T1894_metawrap_bin.9.fa	3652841	NA	NA	NA	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__RH-AL1;s__	Cladonia arbuscula	bacteria_other	bacteria_other	bacteria_other	
private_T1894_metawrap_bin.9	SRR14722151	64.39	35668	3652841	1.220556821	private_T1894_metawrap_bin.9.fa	3652841	NA	NA	NA	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__RH-AL1;s__	Usnocetraria oakesiana	bacteria_other	bacteria_other	bacteria_other	
private_T1894_metawrap_bin.9	SRR14722162	90.61	95289	3652841	3.260783867	private_T1894_metawrap_bin.9.fa	3652841	NA	NA	NA	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__RH-AL1;s__	Hypogymnia incurvoides	bacteria_other	bacteria_other	bacteria_other	
private_T1894_metawrap_bin.9	SRR14722168	61.54	56150	3652841	1.921449633	private_T1894_metawrap_bin.9.fa	3652841	NA	NA	NA	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__RH-AL1;s__	Parmotrema stuppeum	bacteria_other	bacteria_other	bacteria_other	
private_T1894_metawrap_bin.9	SRR14722231	54.68	42688	3652841	1.4607808	private_T1894_metawrap_bin.9.fa	3652841	NA	NA	NA	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__RH-AL1;s__	Lecanora masana	bacteria_other	bacteria_other	bacteria_other	
private_T1894_metawrap_bin.9	T1894	99.96	576938	3652841	19.74278377	private_T1894_metawrap_bin.9.fa	3652841	NA	NA	NA	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__RH-AL1;s__	Lecidea_scabridula	bacteria_other	bacteria_other	bacteria_other	
private_VT33_concoct_bin.0	SRR14722156	86.56	2510742	36233533	8.661665701	private_VT33_concoct_bin.0.fa	36233533	ascomycota_odb10	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881;388435;5197;157822;78060;112415	Letharia	NA	Melanelia stygia	Fungi	mycobiont	mycobiont	
private_VT33_concoct_bin.0	VT33	99.98	34370411	36233533	118.5725216	private_VT33_concoct_bin.0.fa	36233533	ascomycota_odb10	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881;388435;5197;157822;78060;112415	Letharia	NA	Allantoparmelia sp	Fungi	mycobiont	mycobiont	
public_SRR11456921_metawrap_bin.19	SRR11456921	100	1679237	4460902	47.0543009	public_SRR11456921_metawrap_bin.19.fa	4460902	NA	NA	NA	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Tardiphaga;s__	Peltigera evansiana	bacteria_other	bacteria_other	bacteria_other	
public_SRR11456921_metawrap_bin.18	SRR11456921	99.99	1322931	3889296	42.51833108	public_SRR11456921_metawrap_bin.18.fa	3889296	NA	NA	NA	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Mesorhizobium_D;s__	Peltigera evansiana	bacteria_other	bacteria_other	bacteria_other	
public_SRR14722032_metabat2_bin.2	SRR14722032	99.96	7074757	31179552	28.36296766	public_SRR14722032_metabat2_bin.2.fa	31179552	ascomycota_odb10	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881	OSLEUM clade	NA	Platismatia tuckermanii	Fungi	mycobiont	mycobiont_missassigned	grouped with ochrolechia/pertusaria/lepra
public_SRR14722032_metabat2_bin.2	SRR14722186	94.14	2040221	31179552	8.179322942	public_SRR14722032_metabat2_bin.2.fa	31179552	ascomycota_odb10	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881	OSLEUM clade	NA	Lepra pustulata	Fungi	mycobiont	mycobiont	
public_SRR11456921_metawrap_bin.13	SRR11456921	99.93	249156	2759869	11.28477475	public_SRR11456921_metawrap_bin.13.fa	2759869	NA	NA	NA	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingobium;s__	Peltigera evansiana	bacteria_other	bacteria_other	bacteria_other	
public_SRR11456921_metawrap_bin.12	SRR11456921	99.98	1863676	6629438	35.14015819	public_SRR11456921_metawrap_bin.12.fa	6629438	NA	NA	NA	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Spirosomaceae;g__;s__	Peltigera evansiana	bacteria_other	bacteria_other	bacteria_other	
public_SRR11456921_metawrap_bin.11	SRR11456921	100	1018099	5362047	23.73391636	public_SRR11456921_metawrap_bin.11.fa	5362047	NA	NA	NA	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Rubrivivax;s__	Peltigera evansiana	bacteria_other	bacteria_other	bacteria_other	
public_SRR11456913_metawrap_bin.5	ERR4179390	54.74	174024	3783488	5.749456586	public_SRR11456913_metawrap_bin.5.fa	3783488	NA	NA	NA	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Lichenihabitans;s__	Lobaria pulmonaria	bacteria_other	bacteria_other	bacteria_other	
public_SRR11456913_metawrap_bin.5	ERR4179391	87.35	151387	3783488	5.001568658	public_SRR11456913_metawrap_bin.5.fa	3783488	NA	NA	NA	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Lichenihabitans;s__	Peltigera polydactylon	bacteria_other	bacteria_other	bacteria_other	
public_SRR11456913_metawrap_bin.5	SRR11456913	99.76	262695	3783488	8.678995414	public_SRR11456913_metawrap_bin.5.fa	3783488	NA	NA	NA	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Lichenihabitans;s__	Peltigera malacea	bacteria_other	bacteria_other	bacteria_other	
public_SRR11456913_metawrap_bin.5	SRR11456915	74.45	66454	3783488	2.195526985	public_SRR11456913_metawrap_bin.5.fa	3783488	NA	NA	NA	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Lichenihabitans;s__	Peltigera aphthosa	bacteria_other	bacteria_other	bacteria_other	
public_SRR11456921_metawrap_bin.17	SRR11456921	99.82	359402	5474166	8.206775242	public_SRR11456921_metawrap_bin.17.fa	5474166	NA	NA	NA	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__UBA1315;s__	Peltigera evansiana	bacteria_other	bacteria_other	bacteria_other	
public_SRR11456921_metawrap_bin.16	SRR11456921	99.97	372286	3240044	14.36269075	public_SRR11456921_metawrap_bin.16.fa	3240044	NA	NA	NA	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Nevskiales;f__Nevskiaceae;g__Hydrocarboniphaga;s__	Peltigera evansiana	bacteria_other	bacteria_other	bacteria_other	
public_SRR11456921_metawrap_bin.15	SRR11456921	99.77	292432	4348868	8.405405729	public_SRR11456921_metawrap_bin.15.fa	4348868	NA	NA	NA	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__Rhodovarius;s__	Peltigera evansiana	bacteria_other	bacteria_other	bacteria_other	
public_SRR11456921_metawrap_bin.14	SRR11456913	55.44	127174	6825203	2.329124863	public_SRR11456921_metawrap_bin.14.fa	6825203	NA	NA	NA	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Spirosomaceae;g__Fibrella;s__	Peltigera malacea	bacteria_other	bacteria_other	bacteria_other	
public_SRR11456921_metawrap_bin.14	SRR11456921	100	1263414	6825203	23.13876232	public_SRR11456921_metawrap_bin.14.fa	6825203	NA	NA	NA	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Spirosomaceae;g__Fibrella;s__	Peltigera evansiana	bacteria_other	bacteria_other	bacteria_other	
private_T1889_concoct_bin.13	T1889	99.99	112708257	24831450	567.3664697	private_T1889_concoct_bin.13.fa	24831450	ascomycota_odb10	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881	OSLEUM clade	NA	Xylographa_carneopallida	Fungi	mycobiont	mycobiont	
private_T1888_metawrap_bin.10	ERR4179389	82.88	327401	4296970	9.524182156	private_T1888_metawrap_bin.10.fa	4296970	NA	NA	NA	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__LMUY01;s__	Cladonia furcata	bacteria_other	bacteria_other	bacteria_other	
private_T1888_metawrap_bin.10	T1868	54.24	35322	4296970	1.027526373	private_T1888_metawrap_bin.10.fa	4296970	NA	NA	NA	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__LMUY01;s__	Ptychographa_xylographoides	bacteria_other	bacteria_other	bacteria_other	
private_T1888_metawrap_bin.10	T1888	99.87	701583	4296970	20.40923604	private_T1888_metawrap_bin.10.fa	4296970	NA	NA	NA	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__LMUY01;s__	Puttea_exsequens	bacteria_other	bacteria_other	bacteria_other	
private_T1888_metawrap_bin.10	T1916	88.04	338559	4296970	9.848771344	private_T1888_metawrap_bin.10.fa	4296970	NA	NA	NA	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__LMUY01;s__	Thelotrema_lepadinum	bacteria_other	bacteria_other	bacteria_other	
private_T1888_metawrap_bin.10	X3	58.31	43256	4296970	1.258328543	private_T1888_metawrap_bin.10.fa	4296970	NA	NA	NA	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__LMUY01;s__	Platismatia glauca	bacteria_other	bacteria_other	bacteria_other	
private_T1888_metawrap_bin.13	T1888	99.89	234411	4716372	6.212693782	private_T1888_metawrap_bin.13.fa	4716372	NA	NA	NA	d__Bacteria;p__Armatimonadota;c__Fimbriimonadia;o__Fimbriimonadales;f__Fimbriimonadaceae;g__Fimbriimonas;s__	Puttea_exsequens	bacteria_other	bacteria_other	bacteria_other	
private_T1888_metawrap_bin.12	ERR4179389	72.79	44755	3089910	1.81053008	private_T1888_metawrap_bin.12.fa	3089910	NA	NA	NA	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__;s__	Cladonia furcata	bacteria_other	bacteria_other	bacteria_other	
private_T1888_metawrap_bin.12	GTX0158	90.16	884192	3089910	35.76932661	private_T1888_metawrap_bin.12.fa	3089910	NA	NA	NA	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__;s__	Gomphillus americanus	bacteria_other	bacteria_other	bacteria_other	
private_T1888_metawrap_bin.12	T1888	100	1071502	3089910	43.34681269	private_T1888_metawrap_bin.12.fa	3089910	NA	NA	NA	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__;s__	Puttea_exsequens	bacteria_other	bacteria_other	bacteria_other	
private_T1888_metawrap_bin.15	ERR4179389	71.32	41690	3567018	1.46095422	private_T1888_metawrap_bin.15.fa	3567018	NA	NA	NA	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Lichenihabitans;s__	Cladonia furcata	bacteria_other	bacteria_other	bacteria_other	
private_T1888_metawrap_bin.15	T1888	99.91	225385	3567018	7.898228997	private_T1888_metawrap_bin.15.fa	3567018	NA	NA	NA	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Lichenihabitans;s__	Puttea_exsequens	bacteria_other	bacteria_other	bacteria_other	
private_T1888_metawrap_bin.15	T1904	58.36	33389	3567018	1.170059977	private_T1888_metawrap_bin.15.fa	3567018	NA	NA	NA	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Lichenihabitans;s__	Toensbergia_leucococca	bacteria_other	bacteria_other	bacteria_other	
private_T1889_concoct_bin.16	ERR4179390	67.98	564356	40608534	1.73718411	private_T1889_concoct_bin.16.fa	40608534	chlorophyta_odb10	1;131567;2759;33090;3041;2692248;75966;75981;2511161;41891;248742;574566	Coccomyxa subellipsoidea C-169	NA	Lobaria pulmonaria	Chlorophyta	photobiont_chloro	photobiont_chloro	
private_T1889_concoct_bin.16	SRR14722071	64.58	397093	40608534	1.222320042	private_T1889_concoct_bin.16.fa	40608534	chlorophyta_odb10	1;131567;2759;33090;3041;2692248;75966;75981;2511161;41891;248742;574566	Coccomyxa subellipsoidea C-169	NA	Arthonia cupressina	Chlorophyta	photobiont_chloro	photobiont_chloro	
